Source Course	Target Course	Cosine Similarity
SI 519	SI 551	0.125392465644
SI 519	SWC 993	0.122859023367
SI 519	SI 627	0.118957737858
SI 519	BIT 512	0.118957737858
SI 519	SI 553	0.114290897664
SI 519	SI 557	0.109888451159
SI 519	SI 682	0.104291915083
SI 519	MO 700	0.10383482633
SI 519	SI 702	0.10383482633
SI 519	SI 543	0.10353942082
SI 519	SI 679	0.103020422962
SI 519	SI 658	0.102224886554
SI 519	MO 561	0.0971285862357
SI 519	MUSICOL 503	0.0971285862357
SI 519	SOC 522	0.0971285862357
SI 519	SWC 630	0.0971285862357
SI 519	PHIL 423	0.0971285862357
SI 519	AMCULT 520	0.0971285862357
SI 519	CMPLXSYS 501	0.0971285862357
SI 519	PUBPOL 558	0.0971285862357
SI 519	PUBPOL 555	0.0971285862357
SI 519	PUBPOL 529	0.0971285862357
SI 519	SI 550	0.0971285862357
SI 519	SI 583	0.0971285862357
SI 519	PUBPOL 636	0.0971285862357
SI 519	PUBPOL 638	0.0971285862357
SI 519	SI 649	0.0971285862357
SI 519	SI 724	0.0971285862357
SI 519	SI 663	0.0945380237495
SI 519	SI 644	0.0945380237495
SI 519	SI 505	0.0945380237495
SI 519	SI 637	0.0915737092991
SI 519	ARCH 531	0.0878561118986
SI 519	SI 680	0.0868744485526
SI 519	SI 686	0.0868744485526
SI 519	SI 508	0.0868744485526
SI 519	SI 639	0.0828315366563
SI 519	SI 601	0.0824163383692
SI 519	SI 699	0.0793051585718
SI 519	SI 631	0.0793051585718
SI 519	STRATEGY 673	0.0793051585718
SI 519	UP 507	0.0793051585718
SI 519	SI 767	0.0793051585718
SI 519	BE 501	0.0793051585718
SI 519	MHS 663	0.0778761197477
SI 519	SI 696	0.0761939317759
SI 519	SI 687	0.0761939317759
SI 519	SI 515	0.0740120567237
SI 519	SI 792	0.0706714271147
SI 519	SI 676	0.0686802819743
SI 519	PUBPOL 687	0.0686802819743
SI 519	SI 516	0.0686802819743
SI 519	SI 684	0.0666296604653
